rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
154,Gentoo,Biscoe,50,16.3,230,5700,male,2007
155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
156,Gentoo,Biscoe,50,15.2,218,5700,male,2007
157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
164,Gentoo,Biscoe,49,16.1,216,5550,male,2007
165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
169,Gentoo,Biscoe,42,13.5,210,4150,female,2007
170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
179,Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007
180,Gentoo,Biscoe,47.8,15,215,5650,male,2007
181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
182,Gentoo,Biscoe,50,15.3,220,5550,male,2007
183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007
185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
186,Gentoo,Biscoe,59.6,17,230,6050,male,2007
187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
191,Gentoo,Biscoe,44,13.6,208,4350,female,2008
192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
193,Gentoo,Biscoe,42.7,13.7,208,3950,female,2008
194,Gentoo,Biscoe,49.6,16,225,5700,male,2008
195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
196,Gentoo,Biscoe,49.6,15,216,4750,male,2008
197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
201,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
202,Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
203,Gentoo,Biscoe,46.6,14.2,210,4850,female,2008
204,Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
205,Gentoo,Biscoe,45.1,14.4,210,4400,female,2008
206,Gentoo,Biscoe,50.1,15,225,5000,male,2008
207,Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
208,Gentoo,Biscoe,45,15.4,220,5050,male,2008
209,Gentoo,Biscoe,43.8,13.9,208,4300,female,2008
210,Gentoo,Biscoe,45.5,15,220,5000,male,2008
211,Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
212,Gentoo,Biscoe,50.4,15.3,224,5550,male,2008
213,Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
214,Gentoo,Biscoe,46.2,14.9,221,5300,male,2008
215,Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
216,Gentoo,Biscoe,54.3,15.7,231,5650,male,2008
217,Gentoo,Biscoe,45.8,14.2,219,4700,female,2008
218,Gentoo,Biscoe,49.8,16.8,230,5700,male,2008
219,Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008
220,Gentoo,Biscoe,49.5,16.2,229,5800,male,2008
221,Gentoo,Biscoe,43.5,14.2,220,4700,female,2008
222,Gentoo,Biscoe,50.7,15,223,5550,male,2008
223,Gentoo,Biscoe,47.7,15,216,4750,female,2008
224,Gentoo,Biscoe,46.4,15.6,221,5000,male,2008
225,Gentoo,Biscoe,48.2,15.6,221,5100,male,2008
226,Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
227,Gentoo,Biscoe,46.4,15,216,4700,female,2008
228,Gentoo,Biscoe,48.6,16,230,5800,male,2008
229,Gentoo,Biscoe,47.5,14.2,209,4600,female,2008
230,Gentoo,Biscoe,51.1,16.3,220,6000,male,2008
231,Gentoo,Biscoe,45.2,13.8,215,4750,female,2008
232,Gentoo,Biscoe,45.2,16.4,223,5950,male,2008
233,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009
234,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009
235,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009
236,Gentoo,Biscoe,50,15.9,224,5350,male,2009
237,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
238,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009
239,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009
240,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009
241,Gentoo,Biscoe,47.5,14,212,4875,female,2009
242,Gentoo,Biscoe,52.1,17,230,5550,male,2009
243,Gentoo,Biscoe,47.5,15,218,4950,female,2009
244,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
245,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009
246,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
247,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
248,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009
249,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009
250,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009
251,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009
252,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
253,Gentoo,Biscoe,48.5,15,219,4850,female,2009
254,Gentoo,Biscoe,55.9,17,228,5600,male,2009
255,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009
256,Gentoo,Biscoe,49.1,15,228,5500,male,2009
257,Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009
258,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009
259,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009
260,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
261,Gentoo,Biscoe,43.3,14,208,4575,female,2009
262,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
263,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009
264,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009
265,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009
266,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009
267,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009
268,Gentoo,Biscoe,55.1,16,230,5850,male,2009
269,Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009
270,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009
271,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009
272,Gentoo,Biscoe,NA,NA,NA,NA,NA,2009
273,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009
274,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009
275,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009
276,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009